model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
gradient_boosting,0.9671875,0.011481983169296146,0.8931739914666744,0.03939697659720379,0.989683095979825,0.004934189333777217
random_forest,0.959375,0.010364452469860624,0.8668561603690123,0.03524052196428488,0.9844979107946399,0.008252912623955722
decision_tree,0.9453125,0.020372507516258277,0.8288839993434435,0.06288969494163439,0.9026281956188498,0.03558601571337539
logistic_regression,0.9265625,0.026882266459508208,0.8045797101449276,0.06609926150382131,0.9870406220639865,0.011245506622464548
svm,0.928125,0.024902152266420667,0.7905322180347458,0.07810514988511309,0.9762538940809969,0.015107043828739156
