model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
ridge,0.0035471080195406597,0.00021923007527756565,0.004398139155310496,0.0002708449367639707,0.9999916137342361,1.5944320490824667e-06
gradient_boosting,0.016094273344169,0.002569208539859757,0.037664661407308474,0.007161381125085025,0.9993554628344453,0.0002885217158073747
random_forest,0.02907291666666666,0.005697061559845266,0.07257232232176716,0.013422270239459806,0.9976843271362685,0.0008116241090171039
decision_tree,0.01625,0.007234898064243891,0.09099022803399266,0.021697428472563646,0.9961659177016452,0.0016881765569238688
svr,0.12074277871826784,0.016741346794502465,0.16495209191613847,0.023875553212494332,0.988380845181231,0.0021751530381753136
