mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0026030540466309,0.01234486808943912,0.03933629989624023,0.005156689947945936,1.0,200,2,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.85,0.8648648648648649,0.8205128205128205,0.926829268292683,0.9302325581395349,0.8784879023619807,0.04329585409397539,7
2.627482604980469,0.031228269538134127,0.0371126651763916,0.0009121711054105652,0.9,500,2,0.05,"{'model__subsample': 0.9, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.85,0.8421052631578947,0.8,0.9047619047619048,0.9523809523809523,0.8698496240601503,0.053052831435734596,20
1.0811899185180665,0.02462407101762924,0.03758573532104492,0.003100809019364334,0.9,200,2,0.05,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.85,0.8421052631578947,0.8421052631578947,0.9047619047619048,0.9523809523809523,0.8782706766917293,0.043838849346563645,10
2.4664892196655273,0.020446493669043744,0.03828034400939941,0.0033092586059620113,1.0,500,2,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.2}",0.85,0.8648648648648649,0.8108108108108109,0.926829268292683,0.9302325581395349,0.8765475004215787,0.04598457940569001,13
0.952347993850708,0.039785144002185,0.03366837501525879,0.001307924425084645,1.0,100,4,0.1,"{'model__subsample': 1.0, 'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.1}",0.85,0.8205128205128205,0.8421052631578947,0.926829268292683,0.9523809523809523,0.87836566086887,0.051562317477197216,9
2.8034480094909666,0.030887648266817003,0.041820335388183597,0.010079419189177864,0.9,300,4,0.1,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.1}",0.85,0.8108108108108109,0.8717948717948718,0.926829268292683,0.9523809523809523,0.8823631806558636,0.05130015117299467,4
2.6672159671783446,0.0526709314326711,0.03649659156799316,0.0009893243265798963,0.7,300,4,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.05}",0.8717948717948718,0.8421052631578947,0.8205128205128205,0.9047619047619048,0.9767441860465116,0.8831838092548008,0.05470642738640467,3
2.501637029647827,0.023136902273031456,0.036572933197021484,0.0011639560553293761,0.7,500,2,0.1,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.1}",0.85,0.8421052631578947,0.7692307692307693,0.9047619047619048,0.9523809523809523,0.8636957779063043,0.06185280829541702,23
2.78805832862854,0.1805127429047465,0.03950657844543457,0.00558224101580821,1.0,500,3,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.2}",0.85,0.7692307692307693,0.8421052631578947,0.9047619047619048,0.9523809523809523,0.8636957779063043,0.06185280829541702,23
2.4997472763061523,0.048111219214555696,0.03766651153564453,0.004637995164399543,1.0,500,2,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.85,0.8648648648648649,0.8108108108108109,0.926829268292683,0.9302325581395349,0.8765475004215787,0.04598457940569001,13
